"object_id","category","gameobject_name","gameobject_file_id","transform_file_id","object_identity_file_id","local_position","parent_transform_file_id","note"
"chair_10","furniture","Conference Chair","1982990310","1982990311","7300000014","(2.25, 0, 1.85)","1557114091","Rear row, right 1."
"computer_desk_01","computer","Computer Desk","1001751372","1001751373","7300000015","(-4.9, 0, -0.25)","1557114091","Existing side computer desk."
"desktop_computer_01","computer","Desktop Computer","1870863660","1870863661","7300000016","(0, 0, 0)","1001751373","Environmental context/distractor; not main puzzle target."
"monitor_01","computer","Monitor Bezel","1603007954","1603007955","7300000017","(0, 1.43, -0.44)","1870863661","Monitor frame."
"monitor_screen_01","computer","Blue Screen","1492978973","1492978974","7300000018","(0, 1.43, -0.505)","1870863661","Visible monitor screen."
"keyboard_01","computer","Keyboard","725937463","725937464","7300000019","(-0.12, 0.86, 0.18)","1870863661","Keyboard on the computer desk."
"mouse_01","computer","Mouse","2085283713","2085283714","7300000020","(0.72, 0.86, 0.2)","1870863661","Mouse on the computer desk."
"computer_tower_01","computer","Computer Tower","1652992944","1652992945","7300000021","(0.98, 1.04, -0.18)","1870863661","Desktop tower."
"cable_panel_01","computer","Cable Access Panel","284349722","284349723","7300000022","(0, 0.915, 0)","1519642792","Cable access panel on the main table."
"presentation_setup_01","presentation","Presentation Setup","1349389628","1349389629","7300000023","(0, 0, 0)","1557114091","Existing presentation setup root."
"screen_01","presentation","Projection Screen Surface","1035640280","1035640281","7300000024","(0, 2.75, -10.85)","1349389629","Main projection screen; hidden mapping clue child should activate after remote_01."
"screen_pull_cord_01","presentation","Screen Pull Cord","1239897209","1239897210","7300000025","(2.72, 3.38, -10.7)","1349389629","Screen pull cord."
"projector_01","presentation","Ceiling Projector","46138338","46138339","7300000026","(0, 6.409, -0.26)","1349389629","Ceiling mounted projector root."
"projector_beam_01","presentation","Visible Projector Beam","935997709","935997710","7300000027","(0, 4.35, -7.99)","1349389629","Visible projector beam."
"projector_cable_01","presentation","Projector Ceiling Cable","2005354396","2005354397","7300000028","(0, 0.42, 0)","46138339","Existing projector ceiling cable."
"remote_01","task_object","Presentation Remote","450274123","450274124","7300000029","(0.72, 1.002, -0.4)","8389490","Existing table remote; trigger: screen activated."
"document_01","distractor","Open Notebook Left","357638901","357638902","7300000030","(-1.55, 0.995, -0.42)","8389490","Environmental distractor or optional note."
"document_02","distractor","Open Notebook Right","1295910833","1295910834","7300000031","(1.42, 0.995, 0.38)","8389490","Environmental distractor or optional note."
"conference_speaker_01","table_object","Conference Speaker","1891694450","1891694451","7300000032","(0, 1.01, 0)","8389490","Conference speaker on the table."
"plant_01","plant","Left Back Floor Plant","160433997","160433998","7300000033","(-5.6, 0, -9.55)","1140947531","Left rear floor plant."
"plant_02","plant","Right Back Floor Plant","1157177702","1157177703","7300000034","(5.35, 0, -9.45)","1140947531","Right rear floor plant."
"plant_03","plant","Entry Side Floor Plant","882623609","882623610","7300000035","(5.55, 0, 2.4)","1140947531","Entry side floor plant."
"plant_04","distractor","Small Table Plant","942075663","942075664","7300000036","(2.42, 0.9, 0.48)","1140947531","Small plant on table / distractor."
"window_01","window","Left Window Front","626372400","626372401","7300000037","(-20.044, 2.48, -1.7)","1970015218","Left side front window."
"window_02","window","Left Window Rear","1552555601","1552555602","7300000038","(-20.046, 2.48, -6.1)","1970015218","Left side rear window."
"window_03","window","Right Window Front","2056751108","2056751109","7300000039","(13.84, 2.48, -1.7)","1970015218","Right side front window."
"window_04","window","Right Window Rear","1355144015","1355144016","7300000040","(13.85, 2.48, -6.1)","1970015218","Right side rear window."
